timestamp,machine_id,line,shift,product,planned_output,actual_output,scrap_count,downtime_minutes,runtime_minutes,quality_status
2025-01-01 06:00,M-11,Line B,Day,Valve Assembly,83,68,2,17.4,393.6,Hold
2025-01-01 14:00,M-07,Line A,Evening,Valve Assembly,83,76,3,26.5,398.3,Review
2025-01-01 22:00,M-04,Line A,Night,Bearing Kit,115,109,2,18.6,400.1,Pass
2025-01-02 06:00,M-02,Line B,Day,Valve Assembly,128,122,5,40.3,393.0,Review
2025-01-02 14:00,M-02,Line B,Evening,Sensor Module,117,107,4,27.3,378.1,Pass
2025-01-02 22:00,M-05,Line B,Night,Valve Assembly,109,106,1,27.2,384.1,Pass
2025-01-03 06:00,M-12,Line C,Day,Valve Assembly,101,88,4,7.7,410.4,Pass
2025-01-03 14:00,M-11,Line B,Evening,Control Panel,87,74,1,18.5,404.5,Pass
2025-01-03 22:00,M-04,Line A,Night,Bearing Kit,130,106,4,33.0,375.6,Hold
2025-01-04 06:00,M-07,Line A,Day,Sensor Module,131,121,5,0.0,451.5,Pass
2025-01-04 14:00,M-11,Line B,Evening,Pump Housing,134,122,2,6.7,406.6,Pass
2025-01-04 22:00,M-11,Line B,Night,Valve Assembly,114,95,0,19.5,389.6,Pass
2025-01-05 06:00,M-09,Line C,Day,Pump Housing,144,132,4,42.1,365.2,Pass
2025-01-05 14:00,M-09,Line C,Evening,Sensor Module,80,71,3,4.8,407.1,Pass
2025-01-05 22:00,M-01,Line A,Night,Pump Housing,90,85,3,31.9,395.2,Review
2025-01-06 06:00,M-09,Line C,Day,Pump Housing,113,115,5,0.0,417.2,Pass
2025-01-06 14:00,M-07,Line A,Evening,Control Panel,136,109,1,30.4,381.8,Hold
2025-01-06 22:00,,Line A,Night,Valve Assembly,89,72,1,16.7,399.3,Pass
2025-01-07 06:00,M-11,Line B,Day,Bearing Kit,107,101,2,0.0,415.3,Review
2025-01-07 14:00,M-04,Line A,Evening,Valve Assembly,92,91,1,10.9,399.7,Pass
2025-01-07 22:00,M-01,Line A,Night,Bearing Kit,123,112,1,20.1,394.4,Review
2025-01-08 06:00,M-04,Line A,Day,Valve Assembly,136,127,16,27.8,370.1,Pass
2025-01-08 14:00,M-03,Line C,Evening,Bearing Kit,142,121,1,0.0,422.8,Review
2025-01-08 22:00,M-05,Line B,Night,Bearing Kit,142,131,4,24.6,403.7,Pass
2025-01-09 06:00,M-01,Line A,Day,Sensor Module,141,145,1,0.0,419.6,Hold
2025-01-09 14:00,M-02,Line B,Evening,Pump Housing,131,119,4,39.5,397.8,Hold
2025-01-09 22:00,M-10,Line A,Night,Sensor Module,120,101,2,26.7,390.1,Pass
2025-01-10 06:00,M-08,Line B,Day,Control Panel,89,71,2,37.5,383.5,Pass
2025-01-10 14:00,M-06,Line C,Evening,Valve Assembly,111,106,3,12.4,412.7,Hold
2025-01-10 22:00,M-01,Line A,Night,Sensor Module,0,100,5,24.0,393.7,Pass
2025-01-11 06:00,M-05,Line B,Day,Control Panel,106,91,2,16.1,396.0,Pass
2025-01-11 14:00,M-02,Line B,Evening,Bearing Kit,115,115,1,30.1,392.9,Review
2025-01-11 22:00,M-09,Line C,Night,Valve Assembly,94,84,3,43.8,387.5,Pass
2025-01-12 06:00,M-07,Line A,Day,Pump Housing,85,85,4,7.3,436.7,Pass
2025-01-12 14:00,M-11,Line B,Evening,Valve Assembly,125,116,1,23.5,372.0,Pass
2025-01-12 22:00,M-03,Line C,Night,Bearing Kit,83,72,2,31.7,412.9,Pass
2025-01-13 06:00,M-05,Line B,Day,Pump Housing,93,78,4,15.1,407.2,Pass
2025-01-13 14:00,M-04,Line A,Evening,Valve Assembly,104,102,2,8.9,416.9,Hold
2025-01-13 22:00,M-06,Line C,Night,Valve Assembly,94,94,1,25.8,387.7,Pass
2025-01-14 06:00,M-12,Line C,Day,Control Panel,135,127,2,4.8,406.3,Pass
2025-01-14 14:00,M-09,Line C,Evening,Sensor Module,105,92,2,14.5,408.9,Pass
2025-01-14 22:00,M-09,Line C,Night,Control Panel,132,112,4,8.0,428.5,Pass
2025-01-15 06:00,M-10,Line A,Day,Sensor Module,118,102,4,0.0,432.6,Pass
2025-01-15 14:00,M-08,Line B,Evening,Bearing Kit,136,138,5,10.5,396.7,Pass
2025-01-15 22:00,M-09,Line C,Night,Sensor Module,122,102,4,46.7,389.7,Pass
2025-01-16 06:00,M-04,Line A,Day,Bearing Kit,89,87,2,0.0,426.9,Pass
2025-01-16 14:00,M-11,Line B,Evening,Valve Assembly,93,88,2,19.7,392.0,Pass
2025-01-16 22:00,M-08,Line B,Night,Pump Housing,139,143,7,0.0,389.0,Hold
2025-01-17 06:00,M-07,Line A,Day,Sensor Module,137,115,2,36.4,371.7,Hold
2025-01-17 14:00,M-08,Line B,Evening,Pump Housing,115,102,5,0.0,427.0,Pass
2025-01-17 22:00,M-04,Line A,Night,Bearing Kit,99,91,2,16.6,399.2,Review
2025-01-18 06:00,M-07,Line A,Day,Sensor Module,82,64,1,32.8,371.2,Review
2025-01-18 14:00,M-09,Line C,Evening,Sensor Module,108,97,3,6.9,413.8,Pass
2025-01-18 22:00,M-08,Line B,Night,Pump Housing,83,66,1,33.6,377.5,Pass
2025-01-19 06:00,M-01,Line A,Day,Control Panel,128,128,2,10.8,420.9,Review
2025-01-19 14:00,M-05,Line B,Evening,Valve Assembly,140,120,4,35.3,386.5,Pass
2025-01-19 22:00,M-01,Line A,Night,Pump Housing,105,94,1,28.4,377.4,Review
2025-01-20 06:00,M-12,Line C,Day,Control Panel,127,103,4,27.5,406.8,Pass
2025-01-20 14:00,M-10,Line A,Evening,Valve Assembly,119,122,2,0.0,408.0,Pass
2025-01-20 22:00,M-02,Line B,Night,Control Panel,95,75,2,136.2,268.9,Pass
2025-01-21 06:00,M-01,Line A,Day,Bearing Kit,142,135,5,46.1,392.7,Hold
2025-01-21 14:00,M-11,Line B,Evening,Control Panel,141,125,2,0.0,424.9,Pass
2025-01-21 22:00,M-08,Line B,Night,Pump Housing,139,129,3,0.0,412.4,Pass
2025-01-22 06:00,M-05,Line B,Day,Control Panel,115,90,4,33.9,373.4,Review
2025-01-22 14:00,M-08,Line B,,Sensor Module,110,108,1,10.6,393.3,Pass
2025-01-22 22:00,M-05,Line B,Night,Sensor Module,127,124,3,1.0,421.5,Pass
2025-01-23 06:00,M-05,Line B,Day,Control Panel,109,99,4,24.6,400.8,Pass
2025-01-23 14:00,M-12,Line C,Evening,Bearing Kit,115,100,1,11.9,375.6,Pass
2025-01-23 22:00,M-06,Line C,Night,Pump Housing,118,117,4,35.2,386.1,Pass
2025-01-24 06:00,M-11,Line B,Day,Bearing Kit,93,82,1,30.7,378.1,Review
2025-01-24 14:00,M-02,Line B,Evening,Valve Assembly,131,111,5,0.0,420.8,Pass
2025-01-24 22:00,M-04,Line A,Night,Valve Assembly,133,124,3,0.0,406.9,Hold
2025-01-25 06:00,M-07,Line A,Day,Control Panel,87,75,1,0.3,407.2,Pass
2025-01-25 14:00,M-04,Line A,Evening,Pump Housing,89,79,0,25.9,404.3,Pass
2025-01-25 22:00,M-12,Line C,Night,Bearing Kit,89,84,3,5.8,389.0,Review
2025-01-26 06:00,M-02,Line B,Day,Sensor Module,108,90,1,180.0,399.0,Hold
2025-01-26 14:00,M-05,Line B,Evening,Bearing Kit,95,82,2,6.3,415.7,Hold
2025-01-26 22:00,M-01,Line A,Night,Bearing Kit,121,115,5,15.5,402.8,Pass
2025-01-27 06:00,M-11,Line B,Day,Control Panel,85,76,1,18.7,393.9,Review
2025-01-27 14:00,M-11,Line B,Evening,Bearing Kit,91,76,1,3.9,418.4,Review
2025-01-27 22:00,M-05,Line B,Night,Bearing Kit,84,86,2,6.3,416.6,Pass
2025-01-28 06:00,M-11,Line B,Day,Sensor Module,139,135,5,10.3,413.7,Pass
2025-01-28 14:00,M-05,Line B,Evening,Sensor Module,96,78,4,31.5,382.8,Pass
2025-01-28 22:00,M-12,Line C,Night,Pump Housing,119,123,6,1.2,414.0,Pass
2025-01-29 06:00,M-11,Line B,Day,Pump Housing,143,126,3,28.6,387.3,Review
2025-01-29 14:00,M-09,Line C,Evening,Pump Housing,129,106,1,24.9,410.2,Review
2025-01-29 22:00,M-06,Line C,Night,Sensor Module,114,105,5,22.9,388.3,Pass
2025-01-30 06:00,M-08,Line B,Day,Sensor Module,141,128,3,8.0,424.6,Pass
2025-01-30 14:00,M-10,Line A,Evening,Bearing Kit,109,97,4,26.9,383.4,Pass
2025-01-30 22:00,M-08,Line B,Night,Valve Assembly,96,97,2,0.0,419.8,Review
2025-01-31 06:00,M-01,Line A,Day,Pump Housing,132,125,2,43.5,353.5,Review
2025-01-31 14:00,M-11,Line B,Evening,Valve Assembly,122,104,4,34.6,366.4,Hold
2025-01-31 22:00,M-01,Line A,Night,Sensor Module,88,74,1,20.0,418.1,Pass
2025-02-01 06:00,M-08,Line B,Day,Pump Housing,118,101,2,21.5,396.4,Hold
2025-02-01 14:00,M-07,Line A,Evening,Sensor Module,103,96,2,20.7,403.6,Pass
2025-02-01 22:00,M-04,Line A,Night,Bearing Kit,112,103,2,0.0,424.5,Pass
2025-02-02 06:00,M-08,Line B,Day,Control Panel,118,117,2,8.5,401.8,Review
2025-02-02 14:00,M-02,Line B,Evening,Pump Housing,128,113,6,1.5,411.6,Pass
2025-02-02 22:00,M-01,Line A,Night,Sensor Module,86,84,3,37.6,371.8,Pass
2025-02-03 06:00,M-04,Line A,Day,Pump Housing,112,111,4,8.2,394.6,Pass
2025-02-03 14:00,M-05,Line B,Evening,Bearing Kit,84,74,3,0.0,410.7,Pass
2025-02-03 22:00,M-09,Line C,Night,Control Panel,144,138,4,40.6,367.7,Pass
2025-02-04 06:00,M-02,Line B,Day,Bearing Kit,89,83,4,41.1,403.1,Hold
2025-02-04 14:00,M-06,Line C,Evening,Valve Assembly,130,121,4,35.3,386.0,Pass
2025-02-04 22:00,M-02,Line B,Night,Pump Housing,140,136,2,46.7,377.2,Review
2025-02-05 06:00,M-12,Line C,Day,Control Panel,132,95,1,129.2,293.2,Review
2025-02-05 14:00,M-08,Line B,Evening,Control Panel,133,128,6,0.0,409.9,Pass
2025-02-05 22:00,M-01,Line A,Night,Control Panel,107,90,3,0.0,430.2,Pass
2025-02-06 06:00,M-01,Line A,Day,Bearing Kit,115,103,4,20.6,405.1,Hold
2025-02-06 14:00,M-01,Line A,Evening,Valve Assembly,122,99,4,18.3,407.9,Pass
2025-02-06 22:00,M-04,Line A,Night,Control Panel,98,99,5,22.5,381.8,Pass
