transaction_id,date,amount,type,category,account,cost_center,budget,actual
TXN-2025000,2025-02-09,2462.22,cost,Marketing,AP Clearing,Sales,2279.29,2863.01
TXN-2025001,2025-01-17,4946.91,cost,Software,Operating Account,Finance,4969.59,5789.36
TXN-2025002,2025-05-25,2476.69,revenue,Product Sales,AP Clearing,Operations,2581.26,2145.79
TXN-2025003,2025-03-08,3361.56,cost,Facilities,Revenue Clearing,Customer Success,2891.61,3803.52
TXN-2025004,2025-03-16,6148.06,revenue,Implementation,Payroll Account,Engineering,7055.53,5582.4
TXN-2025005,2025-02-03,4827.49,revenue,Service Revenue,Payroll Account,Finance,4643.24,5420.12
TXN-2025006,2025-03-22,458.39,cost,Logistics,Revenue Clearing,Operations,403.12,385.55
TXN-2025007,2025-02-14,2927.47,cost,Software,Payroll Account,Finance,2603.88,3038.49
TXN-2025008,2025-05-16,1724.08,revenue,Product Sales,AP Clearing,Sales,1505.32,1700.67
TXN-2025009,2025-03-06,1469.03,cost,Facilities,Payroll Account,Customer Success,1479.87,1654.58
TXN-2025010,2025-04-25,5798.22,cost,Contractors,Payroll Account,Operations,5129.3,5890.78
TXN-2025011,2025-01-10,904.03,cost,Facilities,Operating Account,Engineering,953.19,857.92
TXN-2025012,2025-04-22,2514.68,cost,Software,Payroll Account,Operations,2937.05,2117.43
TXN-2025013,2025-05-16,3549.26,revenue,Product Sales,AP Clearing,Operations,3975.58,3831.7
TXN-2025014,2025-03-03,6958.77,revenue,Implementation,AP Clearing,Customer Success,6747.24,8372.65
TXN-2025015,2025-01-30,4913.09,revenue,Implementation,Payroll Account,Finance,5726.75,5304.87
TXN-2025016,2025-04-11,4907.35,cost,Contractors,Payroll Account,Operations,5653.85,5060.21
TXN-2025017,2025-01-08,7883.06,revenue,Implementation,Payroll Account,Engineering,8509.41,9773.26
TXN-2025018,2025-02-14,4270.31,cost,Logistics,Revenue Clearing,Customer Success,3709.22,3501.87
TXN-2025019,2025-03-30,6076.78,revenue,,Payroll Account,Operations,6968.86,7470.6
TXN-2025020,2025-03-23,5893.62,cost,Logistics,Payroll Account,Sales,6211.19,5832.31
TXN-2025021,2025-02-28,7379.73,revenue,Implementation,Revenue Clearing,Sales,8147.31,7850.55
TXN-2025022,2025-02-13,1659.56,cost,Logistics,Revenue Clearing,Operations,1619.1,1960.06
TXN-2025023,2025-05-19,5109.31,cost,Contractors,Revenue Clearing,Customer Success,5765.73,6052.42
TXN-2025024,2025-06-17,6073.43,cost,Facilities,Revenue Clearing,Engineering,6104.84,6186.22
